,model,dataset,top1,top5
0,resnet18,../data/genevec_images/dim=32_alg=MiniBatchKMeans_norm=non-zero_col=viridis,0.402515709400177,0.7421383857727051
1,resnet18,../data/genevec_images/dim=32_alg=MiniBatchKMeans_norm=non-zero_col=seismic,0.42557650804519653,0.75052410364151
2,resnet18,../data/genevec_images/dim=32_alg=MiniBatchKMeans_norm=abs-value_col=viridis,0.3962264060974121,0.7348008155822754
3,resnet18,../data/genevec_images/dim=32_alg=MiniBatchKMeans_norm=abs-value_col=seismic,0.39937105774879456,0.7253668904304504
4,resnet18,../data/genevec_images/dim=32_alg=GaussianMixture_norm=non-zero_col=viridis,0.402515709400177,0.7368972897529602
5,resnet18,../data/genevec_images/dim=32_alg=GaussianMixture_norm=non-zero_col=seismic,0.4171907901763916,0.7662473917007446
6,resnet18,../data/genevec_images/dim=32_alg=GaussianMixture_norm=abs-value_col=viridis,0.4161425530910492,0.7327044010162354
7,resnet18,../data/genevec_images/dim=32_alg=GaussianMixture_norm=abs-value_col=seismic,0.41404610872268677,0.7190775871276855
8,resnet18,../data/genevec_images/dim=128_alg=MiniBatchKMeans_norm=non-zero_col=viridis,0.44758909940719604,0.7599580883979797
9,resnet18,../data/genevec_images/dim=128_alg=MiniBatchKMeans_norm=non-zero_col=seismic,0.46016770601272583,0.7599580883979797
10,resnet18,../data/genevec_images/dim=128_alg=MiniBatchKMeans_norm=abs-value_col=viridis,0.45387840270996094,0.7683438062667847
11,resnet18,../data/genevec_images/dim=128_alg=MiniBatchKMeans_norm=abs-value_col=seismic,0.4171907901763916,0.7431865930557251
12,resnet18,../data/genevec_images/dim=128_alg=GaussianMixture_norm=non-zero_col=viridis,0.46960169076919556,0.7809224128723145
13,resnet18,../data/genevec_images/dim=128_alg=GaussianMixture_norm=non-zero_col=seismic,0.4528301954269409,0.7767295837402344
14,resnet18,../data/genevec_images/dim=128_alg=GaussianMixture_norm=abs-value_col=viridis,0.45492660999298096,0.7683438062667847
15,resnet18,../data/genevec_images/dim=128_alg=GaussianMixture_norm=abs-value_col=seismic,0.4371069073677063,0.7704402804374695
16,resnet18,../data/genevec_images/dim=512_alg=MiniBatchKMeans_norm=non-zero_col=viridis,0.43501049280166626,0.7599580883979797
17,resnet18,../data/genevec_images/dim=512_alg=MiniBatchKMeans_norm=non-zero_col=seismic,0.44129979610443115,0.7631027102470398
18,resnet18,../data/genevec_images/dim=512_alg=MiniBatchKMeans_norm=abs-value_col=viridis,0.40566039085388184,0.7442348003387451
19,resnet18,../data/genevec_images/dim=512_alg=MiniBatchKMeans_norm=abs-value_col=seismic,0.40670859813690186,0.7348008155822754
20,resnet18,../data/genevec_images/dim=512_alg=GaussianMixture_norm=non-zero_col=viridis,0.401467502117157,0.7578616142272949
21,resnet18,../data/genevec_images/dim=512_alg=GaussianMixture_norm=non-zero_col=seismic,0.4234800934791565,0.75157231092453
22,resnet18,../data/genevec_images/dim=512_alg=GaussianMixture_norm=abs-value_col=viridis,0.3951781988143921,0.7337526082992554
23,resnet18,../data/genevec_images/dim=512_alg=GaussianMixture_norm=abs-value_col=seismic,0.41404610872268677,0.7651991844177246
24,resnet34,../data/genevec_images/dim=32_alg=MiniBatchKMeans_norm=non-zero_col=viridis,0.41404610872268677,0.74947589635849
25,resnet34,../data/genevec_images/dim=32_alg=MiniBatchKMeans_norm=non-zero_col=seismic,0.4224318563938141,0.7683438062667847
26,resnet34,../data/genevec_images/dim=32_alg=MiniBatchKMeans_norm=abs-value_col=viridis,0.4381551444530487,0.74842768907547
27,resnet34,../data/genevec_images/dim=32_alg=MiniBatchKMeans_norm=abs-value_col=seismic,0.40041929483413696,0.7316561937332153
28,resnet34,../data/genevec_images/dim=32_alg=GaussianMixture_norm=non-zero_col=viridis,0.3972746431827545,0.7400419116020203
